Date visite,Nom,Département,Commune,Objet,Thème
07/10/2017,GOURAULT Jacqueline,Mayenne,CRAON,Assemblée générale AMF 2017,Etat et collectivités
06/10/2017,GOURAULT Jacqueline,Dordogne,"BOULAZAC
PERIGUEUX
SORGES ET LIGUEUX","Congrès départemental de l'Union des maires de la Dordogne,
rencontre avec des migrants, commune nouvelle",Etat et collectivités
05/10/2017,GOURAULT Jacqueline,Loire-Atlantique,NANTES,"Participation à la 28ème convention nationale de l'assemblée
des communautés de France, cité des Congrès à Nantes",Etat et collectivités
30/09/2017,GOURAULT Jacqueline,Finistère,POULLAN SUR MER,Congrès national des maires ruraux,Etat et collectivités
06/09/2017,GOURAULT Jacqueline,Gironde,MONTUSSAN,"Réunion d'échanges avec les élus girondins sur l'actualité
parlementaire",Etat et collectivités
01/09/2017,GOURAULT Jacqueline,Loir-et-Cher,BLOIS,Inauguration de la Salle du Jeu de Paume,Culture et Communication
21/07/2017,GOURAULT Jacqueline,Maine-et-Loire,"ANGERS
AVRILLE","Visite centre accueil et orientation à Avrillé, table ronde
communes nouvelles, PPNG",Etat et collectivités
09/07/2017,GOURAULT Jacqueline,Loir-et-Cher,BLOIS,Comice agricole de Billy,Agriculture
29/06/2017,GOURAULT Jacqueline,Seine-et-Marne,MELUN,"Cérémonie de fin de scolarité de la 123ème promotion des
officiers à l'EOGN",Sécurité
24/06/2017,GOURAULT Jacqueline,Loir-et-Cher,VINEUIL,Journée nationale des sapeurs-pompiers,
23/06/2017,GOURAULT Jacqueline,Pas-de-Calais,CALAIS,Visite sur la thématique des migrants,Etat et collectivités
