code_circo,code_dpt,circo,departement,candidat,genre,site
81_1,81,1,Tarn,Frédéric Cabrolier,H,https://fnlegislatives.fr/candidats/frederic-cabrolier/
52_2,52,2,Haute-Marne,Frédéric FABRE,H,https://fnlegislatives.fr/candidats/frederic-fabre/
77_7,77,7,Seine-et-Marne,Frédérique TROUSSARD,H,https://fnlegislatives.fr/candidats/frederique-troussard/
85_2,85,2,Vendée,Gabriel de Chabot,H,https://fnlegislatives.fr/candidats/gabriel-de-chabot/
60_2,60,2,Oise,Gaëtan DUSSAUSAYE,H,https://fnlegislatives.fr/candidats/gaetan-dussausaye/
94_2,94,2,Val-de-Marne,Gaétan Marzo,H,https://fnlegislatives.fr/candidats/gaetan-marzo/
01_3,1,3,Ain,Gaëtan Noblet,H,https://fnlegislatives.fr/candidats/gaetan-noblet/
44_8,44,8,Loire-Atlantique,Gauthier Bouchet,H,https://fnlegislatives.fr/candidats/gauthier-bouchet/
65_1,65,1,Hautes-Pyrénées,Geneviève COMONT,F,https://fnlegislatives.fr/candidats/genevieve-comont/
76_9,76,9,Seine-Maritime,Geneviève SALVISBERG,F,https://fnlegislatives.fr/candidats/genevieve-salvisberg/
16_1,16,1,Charente,Geoffray Gourré,H,https://fnlegislatives.fr/candidats/geoffray-gourre/
92_5,92,5,Hauts-de-Seine,Geoffroy RONDEPIERRE,H,https://fnlegislatives.fr/candidats/geoffroy-rondepierre/
85_5,85,5,Vendée,Gérald OBERWEIS,H,https://fnlegislatives.fr/candidats/gerald-oberweis/
67_8,67,8,Bas-Rhin,Gérard JANUS,H,https://fnlegislatives.fr/candidats/gerard-janus/
59_12,59,12,Nord,Gérard PHILIPPE,H,https://fnlegislatives.fr/candidats/gerard-philippe/
93_4,93,4,Seine-Saint-Denis,Gilles CLAVEL,H,https://fnlegislatives.fr/candidats/gilles-clavel/
64_4,64,4,Pyrénées-Atlantiques,Gilles HUSTAIX,H,https://fnlegislatives.fr/candidats/gilles-hustaix/
