code_circo,code_dpt,circo,departement,candidat,genre,site
58_1,58,1,Nièvre,Pauline VIGNERON,F,https://fnlegislatives.fr/candidats/pauline-vigneron/
01_5,1,5,Ain,Pénélope CHALON,F,https://fnlegislatives.fr/candidats/penelope-chalon/
42_1,42,1,Loire,Philippe Clause,H,https://fnlegislatives.fr/candidats/philippe-clause/
59_13,59,13,Nord,Philippe EYMERY,H,https://fnlegislatives.fr/candidats/philippe-eymery/
14_4,14,4,Calvados,Philippe FOUCHE SAILLENFEST,H,https://fnlegislatives.fr/candidats/philippe-fouche-saillenfest/
60_7,60,7,Oise,Philippe LAMBILLIOTTE,H,https://fnlegislatives.fr/candidats/philippe-lambilliotte/
83_4,83,4,Var,Philippe Lottiaux,H,https://fnlegislatives.fr/candidats/philippe-lottiaux/
60_3,60,3,Oise,Philippe MURER,H,https://fnlegislatives.fr/candidats/philippe-murer/
62_7,62,7,Pas-de-Calais,Philippe OLIVIER,H,https://fnlegislatives.fr/candidats/philippe-olivier/
69_3,69,3,Rhône,Pierre DELACROIX,H,https://fnlegislatives.fr/candidats/pierre-delacroix/
83_8,83,8,Var,Pierre JUGY,H,https://fnlegislatives.fr/candidats/pierre-jugy/
95_5,95,5,Val-d'Oise,Pierre RENUCCI,H,https://fnlegislatives.fr/candidats/pierre-renucci/
69_8,69,8,Rhône,Pierre TERRAIL,H,https://fnlegislatives.fr/candidats/pierre-terrail/
77_4,77,4,Seine-et-Marne,Pierre-Charles CHERRIER,H,https://fnlegislatives.fr/candidats/pierre-charles-cherrier/
22_1,22,1,Côtes-d'Armor,Pierre-Yves LOPIN,H,https://fnlegislatives.fr/candidats/pierre-yves-lopin/
71_3,71,3,Saône-et-Loire,Quentin BIJARD,H,https://fnlegislatives.fr/candidats/quentin-bijard/
83_2,83,2,Var,Rachel ROUSSEL,F,https://fnlegislatives.fr/candidats/rachel-roussel/
42_4,42,4,Loire,Raphaëlle Jeanson,F,https://fnlegislatives.fr/candidats/raphaelle-jeanson/
61_1,61,1,Orne,Raymond Herbreteau,H,https://fnlegislatives.fr/candidats/raymond-herbreteau/
973_1,973,1,Guyane,René TRAN VAN NGHIA,H,https://fnlegislatives.fr/candidats/rene-tran-van-nghia/
82_2,82,2,Tarn-et-Garonne,Romain LOPEZ,H,https://fnlegislatives.fr/candidats/romain-lopez/
14_2,14,2,Calvados,Sabrina Joret,F,https://fnlegislatives.fr/candidats/sabrina-joret/
976_1,976,1,Mayotte,Sandi FAOULATI,H,https://fnlegislatives.fr/candidats/sandi-faoulati/
66_3,66,3,Pyrénées-Orientales,Sandrine DOGOR,F,https://fnlegislatives.fr/candidats/sandrine-dogor/
69_13,69,13,Rhône,Sandrine LIGOUT,F,https://fnlegislatives.fr/candidats/sandrine-ligout/
51_1,51,1,Marne,Sandrine VIGNOT,F,https://fnlegislatives.fr/candidats/sandrine-vignot/
42_5,42,5,Loire,Sarah Brosset,F,https://fnlegislatives.fr/candidats/brosset-sarah/
59_19,59,19,Nord,Sébastien CHENU,H,https://fnlegislatives.fr/candidats/sebastien-chenu/
999_11,999,11,Français établis hors de France,Sébastien Cochard,H,https://fnlegislatives.fr/candidats/sebastien-cochard/
88_1,88,1,Vosges,Sébastien HUMBERT,H,https://fnlegislatives.fr/candidats/sebastien-humbert/
93_7,93,7,Seine-Saint-Denis,Sébastien JOLIVET,H,https://fnlegislatives.fr/candidats/sebastien-jolivet/
08_1,8,1,Ardennes,Sophie Lorenzo,F,https://fnlegislatives.fr/candidats/sophie-lorenzo/
999_4,999,4,Français établis hors de France,Soraya LEMAIRE,F,https://fnlegislatives.fr/candidats/soraya-lemaire/
76_10,76,10,Seine-Maritime,Stacy BLONDEL,F,https://fnlegislatives.fr/candidats/stacy-blondel/
63_2,63,2,Puy-de-Dôme,Stanislas Chavelet,H,https://fnlegislatives.fr/candidats/stanislas-chavelet/
37_2,37,2,Indre-et-Loire,Stanislas de La Ruffie,H,https://fnlegislatives.fr/candidats/stanislas-de-la-ruffie/
77_1,77,1,Seine-et-Marne,Stéfanie CONIGLIO,F,https://fnlegislatives.fr/candidats/stefanie-coniglio/
971_2,971,2,Guadeloupe,Stéphan VIENNET,H,https://fnlegislatives.fr/candidats/stephan-viennet/
95_2,95,2,Val-d'Oise,Stéphane CAPDET,H,https://fnlegislatives.fr/candidats/stephane-capdet/
66_4,66,4,Pyrénées-Orientales,Stéphane MASSANELL,H,https://fnlegislatives.fr/candidats/stephane-massanell/
39_3,39,3,Jura,Stéphane Montrelay,H,https://fnlegislatives.fr/candidats/stephane-montrelay/
69_6,69,6,Rhône,Stéphane PONCET,H,https://fnlegislatives.fr/candidats/stephane-poncet/
999_10,999,10,Français établis hors de France,Stéphane Sakoschek,H,https://fnlegislatives.fr/candidats/stephane-sakoschek/
78_3,78,3,Yvelines,Stéphanie de GONNEVILLE,F,https://fnlegislatives.fr/candidats/stephanie-de-gonneville/
76_7,76,7,Seine-Maritime,Stéphanie FERRAND,F,https://fnlegislatives.fr/candidats/stephanie-ferrand/
95_10,95,10,Val-d'Oise,Suzanne KREBS,F,https://fnlegislatives.fr/candidats/suzanne-krebs/
68_6,68,6,Haut-Rhin,Sylvain Marcelli,H,https://fnlegislatives.fr/candidats/sylvain-marcelli/
64_6,64,6,Pyrénées-Atlantiques,Sylviane BUTTIGIEG,F,https://fnlegislatives.fr/candidats/sylviane-buttigieg/
53_2,53,2,Mayenne,Sylviane DEGÉ,F,https://fnlegislatives.fr/candidats/sylviane-dege/
56_3,56,3,Morbihan,Sylvie BAUD,F,https://fnlegislatives.fr/candidats/sylvie-baud/
59_3,59,3,Nord,Sylvie GODDYN,F,https://fnlegislatives.fr/candidats/sylvie-goddyn/
02_2,2,2,Aisne,Sylvie SAILLARD-MEUNIER,F,https://fnlegislatives.fr/candidats/sylvie-saillard-meunier/
63_4,63,4,Puy-de-Dôme,Sylwia Powarunas,F,https://fnlegislatives.fr/candidats/sylwia-powarunas/
67_4,67,4,Bas-Rhin,Thibault MANTEAUX,H,https://fnlegislatives.fr/candidats/thibault-manteaux/
84_2,84,2,Vaucluse,Thibaut de LA TOCNAYE,H,https://fnlegislatives.fr/candidats/thibaut-de-la-tocnaye/
59_17,59,17,Nord,Thibaut FRANÇOIS,H,https://fnlegislatives.fr/candidats/thibaut-francois/
91_9,91,9,Essonne,Thiebauld VEGA,H,https://fnlegislatives.fr/candidats/thiebauld-vega/
07_3,7,3,Ardèche,Thierry Arsac,H,https://fnlegislatives.fr/candidats/thierry-arsac/
51_4,51,4,Marne,Thierry BESSON,H,https://fnlegislatives.fr/candidats/thierry-besson/
94_1,94,1,Val-de-Marne,Thierry Devige,H,https://fnlegislatives.fr/candidats/thierry-devige/
78_1,78,1,Yvelines,Thierry PEREZ,H,https://fnlegislatives.fr/candidats/thierry-perez/
82_1,82,1,Tarn-et-Garonne,Thierry VIALLON,H,https://fnlegislatives.fr/candidats/thierry-viallon/
51_5,51,5,Marne,Thomas LAVAL,H,https://fnlegislatives.fr/candidats/thomas-laval/
76_1,76,1,Seine-Maritime,Thomas MARCY,H,https://fnlegislatives.fr/candidats/thomas-marcy/
95_8,95,8,Val-d'Oise,Tifanny ALLEAU,F,https://fnlegislatives.fr/candidats/tifanny-alleau/
69_1,69,1,Rhône,Tiffany JONCOUR,F,https://fnlegislatives.fr/candidats/tiffany-joncour/
75_10,75,10,Paris,Tiphaine LEOST,F,https://fnlegislatives.fr/candidats/tiphaine-leost/
92_1,92,1,Hauts-de-Seine,Tommy ANOU,F,https://fnlegislatives.fr/candidats/tommy-anou/
999_3,999,3,Français établis hors de France,Tony Thommes,H,https://fnlegislatives.fr/candidats/tony-thommes/
59_21,59,21,Nord,Valérie CAUDRON,F,https://fnlegislatives.fr/candidats/valerie-caudron/
91_2,91,2,Essonne,Valérie GIRARD,F,https://fnlegislatives.fr/candidats/valerie-girard/
13_16,13,16,Bouches-du-Rhône,Valérie LAUPIES,F,https://fnlegislatives.fr/candidats/valerie-laupies/
59_9,59,9,Nord,Valérie TALPAERT,F,https://fnlegislatives.fr/candidats/valerie-talpaert/
75_17,75,17,Paris,Vanessa LANCELOT,F,https://fnlegislatives.fr/candidats/vanessa-lancelot/
59_2,59,2,Nord,Véronique DESCAMPS,F,https://fnlegislatives.fr/candidats/veronique-descamps/
77_10,77,10,Seine-et-Marne,Véronique Fornilli Rata,F,https://fnlegislatives.fr/candidats/veronique-fornilli-rata/
37_4,37,4,Indre-et-Loire,Véronique Péan,F,https://fnlegislatives.fr/candidats/veronique-pean/
59_5,59,5,Nord,Victor CATTEAU,H,https://fnlegislatives.fr/candidats/victor-catteau/
78_7,78,7,Yvelines,Victoria KOSTIAEVA,F,https://fnlegislatives.fr/candidats/victoria-kostiaeva/
87_3,87,3,Haute-Vienne,Vincent GÉRARD,H,https://fnlegislatives.fr/candidats/vincent-gerard/
74_2,74,2,Haute-Savoie,Vincent Lecaillon,H,https://fnlegislatives.fr/candidats/vincent-lecaillon/
27_5,27,5,Eure,Vincent TAILLIEU,H,https://fnlegislatives.fr/candidats/vincent-taillieu/
81_3,81,3,Tarn,Virginie CALLEJON,F,https://fnlegislatives.fr/candidats/virginie-callejon/
46_2,46,2,Lot,Virginie CASTAGNOL,F,https://fnlegislatives.fr/candidats/virginie-castagnol/
67_7,67,7,Bas-Rhin,Virginie JORON,F,https://fnlegislatives.fr/candidats/virginie-joron/
59_10,59,10,Nord,Virginie ROSEZ,F,https://fnlegislatives.fr/candidats/virginie-rosez/
75_13,75,13,Paris,Wallerand de SAINT-JUST,H,https://fnlegislatives.fr/candidats/wallerand-de-saint-just/
74_4,74,4,Haute-Savoie,Wenceslas LIARD,H,https://fnlegislatives.fr/candidats/wenceslas-liard/
78_2,78,2,Yvelines,Yasmine BENZELMAT,F,https://fnlegislatives.fr/candidats/yasmine-benzelmat/
56_6,56,6,Morbihan,Yvan CHICHERY,H,https://fnlegislatives.fr/candidats/yvan-chichery/
