code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
44_5,Katell ANDROMAQUE,F,Mathias Gauthier,H,44,5
44_6,Juliette Coanet,F,Brigitte Maillet,F,44,6
44_7,CATHERINE LEGAL,F,Jim Delémont,H,44,7
44_8,Joël Lemarié,H,Sabrina Touplain,F,44,8
44_9,Liliane Vaillant,F,Jean-Marie Cosson,H,44,9
45_1,Anne Sophie Leguin,F,Jean-Paul Vasquez,H,45,1
45_2,Olivier Hicter,H,Karin Fischer,F,45,2
45_3,Kévin MERLOT,H,Françoise Causse,F,45,3
45_4,,,,,45,4
45_5,Marie AGAM,F,Patrick Goinaud,H,45,5
45_6,Jérôme SCHMITT,H,Véronique Seltz,F,45,6
46_1,Isabelle Eymes,F,Merzouk SIDER,H,46,1
46_2,Pierre Dufour,H,CHANTAL GRIN,F,46,2
47_1,Céline Boussié,F, ,,47,1
47_2,Youssef Sadir,H,Magaly Castagnier,F,47,2
47_3,Rémy GARNIER,H,Anne Colas,F,47,3
48_1,Christian CAUSSE,H,Claude Soudan,F,48,1
49_1,Manon Cantin,F,William Duménil,H,49,1
49_2,Tiphaine Prier,F,Sofian Nait-Bouda,H,49,2
49_3,Georges Chabrier,H,Sabrina Girault,F,49,3
49_4,France Moreau,F,Caroline Bessat,F,49,4
49_5,Kévin Certenais,H,Elisabeth Allain,F,49,5
49_6,Maryline Fonteneau-Grelet,F,Bruno Ciofi,H,49,6
49_7,Olivier Dupuis,H,Léa pouleau,F,49,7
50_1,Aurélien Marion,H,Martine Danjou,F,50,1
50_2,Patrick GRIMBERT,H,Claudine Santier,F,50,2
50_3,Bernard Rebolle,H,Karin Lacroix,F,50,3
50_4,Yvonne Pecoraro,F,André JACQUES,H,50,4
51_1,Laure MANESSE,F,Gaspar Pierre,H,51,1
51_2,Victorien Pâte,H,Lucie Beirweiller,F,51,2
51_3,Roland JACQUES,H,Marianne Siedlecki,F,51,3
51_4,Claudine Lang,F,Thibaut FONTAINE,H,51,4
51_5,Laurène Massicard,F, ,,51,5
52_1,Ariane Walaszek,F,Benjamin MOREL,H,52,1
52_2,Daniel MONNIER,H,ELISABETH BECKER,F,52,2
53_1,Nicolas Chomel,H,Claire Forgin,F,53,1
53_2,,,,,53,2
