code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
01_1,Fabrine MARTIN ZEMLIK,F,Serge TISSOT,H,1,1
01_2,Sylviane THIEBAULT,F,Dominique COLAS,H,1,2
01_3,Christian JOLIE,H,Virginie Polsinelli,F,1,3
01_4,Line HUGUET,F,Cédric Raffin,H,1,4
01_5,Bertrand Jacquier,H,Nora Kerzazi,F,1,5
02_1,Jean-Marc Chamblay,H,Maryline Pierrot,F,2,1
02_2,Sarah Lempereur,F,Bastien Blanchart,H,2,2
02_3,,,,,2,3
02_4,Régis POMMEROLLE,H,SYLVIE HEYVAERTS,F,2,4
02_5,Omar Fenardji,H,Isabelle Lambert,F,2,5
03_1,Frédéric Desnoix,H,Michelle Kapala,F,3,1
03_2,Sylvain Bourdier,H,Emmanuelle Michon,F,3,2
03_3,Marie-Thérèse Dupuis,F,Geoffrey Ortuno,H,3,3
04_1,Emmanuelle Gaziello,F,Eric Vuoso,H,4,1
04_2,Laurent WALTER,H,Evelyne BLANC,F,4,2
05_1,Eléonore Flandin,F, ,,5,1
05_2,Audrey Vincent-Nedelec,F,Christophe Tassaux,H,5,2
06_1,Yannick ARHAN,H,Liliane Dotta,F,6,1
06_2,Sonia Naffati,F,Pierre-Emmanuelle Jeanne Somer,F,6,2
06_3,Bruno COULET,H,Claude Dalbera,F,6,3
06_4,Zohra Briand,F,Didier PLAGNOL,H,6,4
06_5,Philippe PELLEGRINI,H,Christine Evain,F,6,5
06_6,Prune Helfter-Noah,F,Stéphane Pons,H,6,6
06_7,Philippe Carenzo,H,Michèle Charles,F,6,7
06_8,Maddy VARD,F,Luc Biasso,H,6,8
06_9,Denis LEBLANC,H,Christine Le Bouteiller,F,6,9
07_1,Paul Raoul,H,Luisa Sanchez,F,7,1
07_2,Samia HASNAOUI,F,Jacques Deplace,H,7,2
07_3,Alain JOFFRE,H,Florence Pallot,F,7,3
08_1,Françoise Verlhac,F, ,,8,1
08_2,Michel Cartiaux,H,Marie-Corinne GILLET née DOLEZ,F,8,2
08_3,Sophie Perrin,F, ,,8,3
09_1,Bénédicte Taurine,F,Marcel Lopez,H,9,1
09_2,Michel Larive,H,Ingrid Lavoine,F,9,2
10_1,Alexandre Faou,H,Julie Lapeyre,F,10,1
10_2,Elise Géhin,F,André Smolarz,H,10,2
10_3,Yves BOUTEILLER,H,Janny Borca,F,10,3
11_1,Marine Toro,F, ,,11,1
11_2,Jean-Hugues SILBERMAN,H,NADINE SANCHEZ,F,11,2
11_3,Manon LE BRETTON,F,Jean-Didier Carré,H,11,3
12_1,Pierre-Arnaud Defontaines,H, ,,12,1
12_2,Pascal Mazet,H,Céline Hebeisen,F,12,2
12_3,Catherine LAUR,F,Théo Ollivier--Triquet,H,12,3
13_1,Bernard Borgialli,H,Marie-Hélène RICE,F,13,1
13_10,Jacques Charton,H,Michelle Blanchard,F,13,10
13_11,Claudie HUBERT,F,Guillaume DALLA COSTA,H,13,11
13_12,Damien Merono,H,Nathalie MICHELUCCI epouse CHABRAND,F,13,12
13_13,Fabrice Aubert,H,Stella APEDDU,F,13,13
13_14,Hélène Le Cacheux,F,Jean-Yves Salvat,H,13,14
13_15,Michèle JUNG  (titulaire),F,Jean-Pierre ,H,13,15
13_16,Gérard GERON,H, ,,13,16
13_2,Ariane Gil,F,Michel Rabillé,H,13,2
13_3,SARAH SOILIHI,F,Raymond Lopez,H,13,3
13_4,Jean-Luc Mélenchon,H, ,,13,4
13_5,Hendrik Davi,H,Anne Mandine,F,13,5
13_6,Annie Gal,F,Mikaël Balmont,H,13,6
13_7,Ouali BRINIS,H,Armelle Rioualen,F,13,7
13_8,Nadia GRAINDORGE,F, ,,13,8
13_9,Sylvie Pille-Lesou,F,Eric Remen,H,13,9
14_1,Karinne GUALBERT,F,Alexandre Besselievre,H,14,1
14_2,ETIENNE BRASSELET,H, ,,14,2
14_3,Didier Canu,H,Sylvie Busato Cozzi,F,14,3
14_4,Stéphane Poussier,H, ,,14,4
14_5,,,,,14,5
14_6,Paul Demeilliers,H,Annie Lepinette,F,14,6
15_1,Thierry Bonhoure,H,Benoite Favre,F,15,1
15_2,,,,,15,2
16_1,Martine Boutin,F,Daniel GAUTIER,H,16,1
16_2,Nathalie Jabli,F,Grégoire Feybesse,H,16,2
16_3,Véronique Bachelier Gregori,F,Laurent ROUSSEL,H,16,3
17_1,Cédric Ruffié,H,Yhlem Dekkiche,F,17,1
17_2,Maud Assila,F,Christophe Geffré,H,17,2
17_3,Rémy Catrou,H,Maryvonne Filipovitch,F,17,3
17_4,Lucie Kirchner,F,Tony Launay,H,17,4
17_5,Geoffrey Lebreton,H,Marie-Claude Marlin,F,17,5
18_1,Frederic Renard,H,Corinne Trussardi,F,18,1
18_2,Souade Kastani,F,Thierry Lopez,H,18,2
18_3,Jean Riffet,H,Patricia Guéhenneux,H,18,3
19_1,Jean-Marc Vareille,H,Lucrèce La Chenardière,F,19,1
19_2,Selin Ersoy,F,Roland Rupage,H,19,2
21_1,Arnaud Guvenatam,H,Natacha Camus,F,21,1
21_2,Patricia Marc,H,SYLVAINE AMALRIC,F,21,2
21_3,Boris Obama,H,Catherine DREMEAU,F,21,3
21_4,Stéphane GUINOT,H,Brigitte Mindus,F,21,4
21_5,Elisabeth Kremer,F, ,,21,5
22_1,Marion Gorgiard,F,Philippe Guégan,H,22,1
22_2,Didier GIFFRAIN,H,ANDREE  CLAIRE BAZIN,F,22,2
22_3,Ronan Glaziou,H,Christelle Marcq,F,22,3
22_4,Murielle LEPVRAUD,F,Henri DUCLUT,H,22,4
22_5,Marie-Amélie Troadec,F,Romain Hipeau,H,22,5
23_1,Laurence Pache,F,Laurent Sauvajon,H,23,1
24_1,Hélène Reys,F, ,,24,1
24_2,Pascal Dumeste,H,Chrystel Boutillier,,24,2
24_3,Philippe Guillerme,H, ,,24,3
24_4,Emilie Chalard,F,Luis Ferreyra,H,24,4
25_1,Habiba Delacour,F,José Gahona,H,25,1
25_2,Claire Arnoux,F,Daniel CONVERSY,H,25,2
25_3,Christophe Espolio,H,Morgane Paulet,F,25,3
25_4,Nadia Barznica,F,Christian Millet,H,25,4
25_5,Martine Ludi,F,Ivan Bouday,H,25,5
26_1,Karine Messina,F, ,,26,1
26_2,Rachel Mahé,F,gilles reynaud,H,26,2
26_3,Didier Thévenieau,H,Hélène Lacheret,F,26,3
26_4,Emmanuelle OULD AOUDIA,F,Jean-Bernard SUCHEL,H,26,4
27_1,Michaël Després,H,Cécile Soulignac,F,27,1
27_2,Nathalie PACOURET,F,Jean-Paul BOITEUX,H,27,2
27_3,,,,,27,3
27_4,,,,,27,4
27_5,Pierre ZIMMERMANN,H,Laurence FILIPPINI,F,27,5
28_1,Juliette Bayanski,F, ,,28,1
