BUREAU DE VOTE,DEPARTEMENT,ARNAUD MONTEBOURG,MARTINE AUBRY,JEAN-MICHEL BAYLET,MANUEL VALLS,FRANCOIS HOLLANDE,SEGOLENE ROYAL,VOTES BLANCS,VOTES NULS
940117,94,102,160,7,52,204,40,5,0
940118,94,57,134,3,40,184,45,0,5
940119,94,143,247,4,66,246,53,1,1
940120,94,75,146,1,23,185,32,0,0
940121,94,63,78,2,14,122,22,1,1
940122,94,50,99,3,11,138,33,0,1
940123,94,53,103,0,18,94,22,0,1
940124,94,74,164,2,30,153,36,2,0
940125,94,13,24,1,5,32,8,0,0
940126,94,17,41,4,9,37,11,0,0
940128,94,49,127,1,28,126,12,1,0
940129,94,49,76,0,14,99,24,0,0
940130,94,12,34,1,3,65,22,0,0
940131,94,95,136,4,36,128,27,0,2
940132,94,24,34,0,13,62,14,0,3
940133,94,18,41,0,7,42,5,0,0
940135,94,44,73,1,7,76,22,0,0
940136,94,53,109,1,12,102,20,0,1
940137,94,83,141,0,17,110,33,0,1
940138,94,45,88,4,21,57,12,0,0
940139,94,84,162,2,19,149,16,0,1
940140,94,87,170,4,28,154,32,0,0
940141,94,50,109,4,14,90,23,1,0
940142,94,30,78,0,8,50,15,0,0
940143,94,136,181,1,27,144,25,1,0
940144,94,70,159,1,40,92,23,0,0
940145,94,44,83,1,7,62,13,0,0
940146,94,49,59,1,14,59,14,0,0
940147,94,64,125,1,17,154,25,0,0
940148,94,80,165,1,48,187,29,0,1
940149,94,93,151,1,63,203,31,3,0
940150,94,73,175,4,48,219,21,0,2
940151,94,53,112,0,21,147,25,1,1
940152,94,25,44,2,7,36,14,2,0
940153,94,36,55,1,11,85,17,0,1
940154,94,58,95,1,42,173,30,1,0
940155,94,37,130,0,22,142,19,0,0
940156,94,97,172,4,76,186,23,0,1
940157,94,65,150,0,48,174,18,1,0
940158,94,100,204,0,46,182,23,0,3
940159,94,75,157,1,54,170,31,0,0
940160,94,75,140,0,34,160,31,0,0
940161,94,15,33,0,7,44,7,0,0
940162,94,41,59,0,16,89,12,0,0
940163,94,31,80,0,18,77,14,1,0
940164,94,75,127,1,31,163,20,0,1
940165,94,39,83,1,15,92,16,0,1
940166,94,69,182,2,39,180,32,0,0
940167,94,65,130,0,13,133,30,1,1
940168,94,66,80,1,39,135,20,2,0
940169,94,23,25,0,5,44,13,0,1
940170,94,24,63,2,17,59,13,0,0
940171,94,57,133,2,55,191,19,0,1
940172,94,18,34,0,4,47,2,0,1
940173,94,14,37,0,1,37,18,0,0
940174,94,97,174,2,44,173,22,0,0
940175,94,68,120,4,30,112,24,0,0
940176,94,72,133,0,36,115,32,0,2
940177,94,77,102,2,22,132,26,0,0
950001,95,64,140,4,30,129,19,0,0
950002,95,48,73,0,11,84,24,0,0
950003,95,63,90,1,15,149,27,0,0
950004,95,76,159,3,37,163,38,0,1
950005,95,64,94,0,24,153,30,0,0
