Région,Circo,Dpt,Candidat,H,F,Soutien au PS,Soutien au PC,Autre soutien,Absence voulue
Île-de-France,93_11,93,Céline Fréby,,1,,,,
Île-de-France,93_12,93,Ginette Contrastin,,1,,,,
Île-de-France,94_1,94,Catherine Monié,,1,,,,
Île-de-France,94_2,94,Ali Id Elouali,,1,,,,
Île-de-France,94_3,94,Réciprocité PS,,,1,,,
Île-de-France,94_4,94,Samuel Szymanski,1,,,,,
Île-de-France,94_5,94,Soutien au PC,,,,1,,
Île-de-France,94_6,94,Laurence Abeille,,1,,,,
Île-de-France,94_7,94,Marie Leclerc-Bruant,,1,,,,
Île-de-France,94_8,94,Rémi Houley,1,,,,,
Île-de-France,94_9,94,Réciprocité PS,,,1,,,
Île-de-France,94_10,94,Mehdy Belabbas,1,,,,,
Île-de-France,94_11,94,Marianne Jaouen,,1,,,,
Île-de-France,95_1,95,Bénédicte Ariès,,1,,,,
Île-de-France,95_2,95,Marc Denis,1,,,,,
Île-de-France,95_3,95,Pierrette Borgne,,1,,,,
Île-de-France,95_4,95,Emmanuel Rodriguez,1,,,,,
Île-de-France,95_5,95,Pascal Bertolini,1,,,,,
Île-de-France,95_6,95,François Delcombre,1,,,,,
Île-de-France,95_7,95,Célia Jousserand,,1,,,,
Île-de-France,95_8,95,Laetitia Zidée,,1,,,,
Île-de-France,95_9,95,Dominique Dufumier,1,,,,,
Île-de-France,95_10,95,Dominique Damour,,1,,,,
Français établis hors de France,999_1,999,Jocelyne Le Boulicaut,,1,,,,
Français établis hors de France,999_2,999,Sergio Coronado,1,,,,,
Français établis hors de France,999_3,999,Karine Daudicourt,,1,,,,
Français établis hors de France,999_4,999,Perrine Ledan,,1,,,,
Français établis hors de France,999_5,999,François Ralle Andréoli,1,,,,,
Français établis hors de France,999_6,999,Jean Rossiaud,1,,,,,
Français établis hors de France,999_7,999,Anna Deparnay-Grunenberg,,1,,,,
Français établis hors de France,999_8,999,Nil Delahaye,,1,,,,
Français établis hors de France,999_9,999,Yann Roustan,1,,,,,
Français établis hors de France,999_10,999,Absence de candidat,,,,,,
Français établis hors de France,999_11,999,Absence de candidat,,,,,,
La Réunion,974_1,974,Jean-Pierre Marchau,1,,,,,
La Réunion,974_2,974,Charles Moyac,1,,,,,
La Réunion,974_3,974,Jean-Alain Cadet,1,,,,,
La Réunion,974_4,974,Danon Odayen,,1,,,,
La Réunion,974_5,974,,,,,,,
La Réunion,974_6,974,,,,,,,
La Réunion,974_7,974,,,,,,,
