Début,Fin,Nom,Région,Département,Commune,Objet,Thème
12 janvier 2018,,Gérard Collomb,Province,Pas-de-Calais,Lillers,"Obsèques du sergent Jonathan Cotterez et du caporal Arnaud Dauchy, sapeurs pompiers",Sécurité et défense
16 janvier 2018,,Gérard Collomb,Province,Pas-de-Calais,Calais,Visites et réunions avec les élus et des représentants associatifs locaux,Santé et solidarité
19 janvier 2018,,,International,Royaume-Uni,Sandhurst,35ème sommet franco-britannique,International
20 janvier 2018,21 janvier 2018,Gérard Collomb,Rhône,Rhône,Lyon,Match OL-PSG au Groupama Stadium,Société
23 janvier 2018,,Gérard Collomb,Province,Nord,Lille,10ème Forum international de la cybersécurité,Sécurité et défense
25 janvier 2018,,Gérard Collomb,Rhône,Rhône,La-Tour-de-Salvagny,Dîner du CRIF,Société
26 janvier 2018,,Gérard Collomb,Rhône,Rhône,Collonges-au-Mont-d'Or,Obsèques de Paul Bocuse,Représentation PR
29 janvier 2018,,Gérard Collomb,Rhône,Rhône,Lyon,Fête de l'entreprise,
1 février 2018,2 février 2018,,Province,Pas-de-Calais,Calais,Déplacement ,Sécurité et défense
6 février 2018,7 février 2018,Gérard Collomb,Province,Haute-Corse,Bastia,Visites de la préfecture de Haute-Corse et de l'Inra à San-Giuliano,Etat et collectivités
9 février 2018,,Gérard Collomb,Province,Hérault,Montpellier,Visites de la mairie de Montpellier et de la préfecture de l'Hérault,Sécurité et défense
13 février 2018,,Gérard Collomb,Province,Loiret,Orléans,Réunion sur la PSQ,Sécurité et défense
19 février 2018,,Gérard Collomb,Rhône,Rhône,Lyon,Rencontre avec des réfugiés avec remise d'un rapport parlementaire sur la refonte de la politique d'intégration,Société
22 février 2018,,Gérard Collomb,Ile-de-France,Seine-et-Marne,Lognes,Visite de l'office central de répression de l'immigration irrégulière et de l'emploi des étrangers sans titre,Sécurité et défense
23 février 2018,,Gérard Collomb,Province,Nord,Lille,Visite de la préfecture du Nord,Sécurité et défense
25 février 2018,,,Ile-de-France,Paris,Paris et sa banlieue,Maraude avec la brigade d'assistance aux personnes sans-abris,Sécurité et défense
27 février 2018,,Gérard Collomb,Ile-de-France,Hauts-de-Seine,Issy-les-Moulineaux,Lancement de la brigade numérique à la DGGN,Sécurité et défense
2 mars 2018,,Gérard Collomb,Rhône,Rhône,Lyon,Inauguration de la liason A89-A6,Etat et collectivités
2 mars 2018,,Gérard Collomb,Province,Alpes-Maritimes,Nice,Réunion sur la PSQ,Sécurité et défense
8 mars 2018,9 mars 2018,Gérard Collomb,Province,Haute-Garonne,Toulouse,Présentation des actions mises en oeuvre dans le cadre de la PSQ,Sécurité et défense
8 mars 2018,,,International,Belgique,Bruxelles,Conseil justice et affaires intérieures,International
14 mars 2018,15 mars 2018,,International,Algérie,Alger,Déplacement officiel,International
15 mars 2018,17 mars 2018,,International,Niger,Niamey et Agadez,Déplacement officiel,International
23 mars 2018,,,Province,Aude,Trèbes et Carcassonne,Déplacement à la suite des attentats,Sécurité et défense
23 mars 2018,,Gérard Collomb,Rhône,Rhône,Saint-Cyr-au-Mont-d'Or,Cérémonie de baptême de la 69ème promotion des commissaires à l'ENSP,Etat et collectivités
27 mars 2018,,Gérard Collomb,Ile-de-France,Yvelines,Vélizy-Villacoublay,Rapatriement du corps du colonel Arnaud Beltrame,Société
29 mars 2018,,,Province,Aude,Trèbes et Carcassonne,Cérémonie en hommage aux victimes des attentats,
4 avril 2018,,Gérard Collomb,Ile-de-France,Hauts-de-Seine,Levallois Perret,38ème congrès du SCPN,Sécurité et défense
13 avril 2018,,,Province,Loire-Atlantique,Notre-Dame-des-Landes,Déplacement au poste de commandement de la gendarmerie nationale,
