Avantage,Montant,Date,Nature,Desc.,Catégorie,Prénom,Nom,Fonction / Profession,Adresse professionnelle,Compl. adresse,Compl. adresse,Code postal,Ville,Pays
Avantage 7,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Alain,Chrétien,Député,Assemblée nationale,"126, rue de l'Université",,753SS,Paris 07 SP,France
Avantage 9,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Yvon,Collin,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 24,France
Avantage 10,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Marie-Christine,Dalloz,Députée,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 11,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Marc-Philippe,Daubresse,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 12,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Yves,Daudigny,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 25,France
Avantage 13,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Isabelle,Debré,Sénatrice,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 26,France
Avantage 14,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jean-Pierre,Decool,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 15,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Patrick,Devedjian,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 16,"48,00 €",02/01/2016,autre,Voeux 2016,Parlementaire,Philippe,Dominati,Sénateur,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 27,France
Avantage 17,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jean-Pierre,Door,Députe,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 18,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Nicolas,Dupont-Aignan,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 19,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jacques,Gautier,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 28,France
Avantage 20,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Hervé,Gaymard,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 21,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Philippe,Goujon,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 22,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Denis,Jacquat,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 23,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Yves,Jégo,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 24,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Sophie,Joissains,Senatrice,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 29,France
Avantage 25,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Alain,Joyandet,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 30,France
Avantage 26,"48,00 €",02/01/2016,autre,Vœux 2016,Parlementaire,Jérôme,Lambert,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
