Ministère,Année,Dpt. d'origine,Bénéficiaire,Objet,Objectif,Subvention
Sports,2014,03,AS MOULIN FOOTBALL,"coupe du monde quartiers, contrat, partage et action sociétale",soutien au dlvp  pratique sportive,5000
Sports,2016,38,MJC de Vienne,,Projet de biennale de la danse 2016 sur le territoire Viennois,5000
Sports,2016,59,ASS. SPORTIVE DU CONSEIL GENERAL DE LA PREFECTURE,Manifestations sportives à l'occasion de l'anniversairede l'association,soutien au développement de la pratique sportive,5000
Sports,2016,75,WORLD CUP ASSOCIATION,Semaine de tournoi mondial de football,soutien au développement de la pratique sportive,5000
Sports,2013,75,ASSOCIATION SPORT SANS FRONTIERES,Action éducative et citotenne,utiliser le sport comme outil action éducative et citoyenne,5000
Sports,2013,75,AGENCE POUR L'EDUCATION PAR LE SPORT,Forum Educamonde Jeunes,Education par le sport,5000
Sports,2013,75,PARIS AQUATIQUE,Championnat de France Maîtres,soutien au développement de la pratique sportive,5000
Sports,2013,75,REVUE EPS,Soutien à la publication,soutien au développement de la pratique sportive,5000
Sports,2015,75,COMITE D ETUDE ET D INFORMATIONS PEDAGOGIQUES DE L EDUCATION PHYSIQUE ET DU SPORT,Soutien à la revue EPS,soutien au développement de la pratique sportive,5000
Sports,2013,76,TAEKWONDO ELITE,"Projet """"Takwond'haut de Rouen""",soutien au développement de la pratique sportive,5000
Sports,2013,81,TRIMARAN,Graine de supporter et alcool égo,Lutte contre les discriminations et les addications,5000
Sports,2013,93,SPORT A VIE,soutien au fonctionnement de l'association,"valorisation actions de citoyenneté, respect et solidarité",5000
Sports,2016,59,TENNIS DE TABLE CAPPELLE LA GRANDE,acquisition de matériel indispensable à la poursuite des activites,soutien au développpement de la pratique sportive,4000
Sports,2013,75,FEDERATION SPORTIVE GAIE ET LESBIENNE,Organisation d'un match,soutien au développement de la pratique sportive,4000
Sports,2013,76,ENTENTE SPORTIVE ROUENNAISE,Championnats de France de cross country,soutien au développement de la pratique sportive,4000
Sports,2015,68,ASSOCIATION JEUNESSE SPORTS ET LOISIRS DE VILLAGE NEUF,Animation locale autour des jeux olympiques et paralympiques 2012,soutien au développement de la pratique sportive,3700
Sports,2016,94,ASSOCIATION CARAIB PROJET,"""Summer Run Festival""",,3500
Sports,2013,03,ASSOCIATION VILTAÏS,Financement équipe moto,soutien au développement de la pratique sportive,3000
Sports,2014,14,FOOTBALL CLUB COTE DE NACRE,célébration 70ème anniversaire débarquement,soutien au dlvp  pratique sportive,3000
Sports,2013,42,TOURNOI HANDI SUPPORTERS,organisation du 1er tournoi handi,soutien au handicap,3000
Sports,2016,59,OLYMPIQUE CLUB ROUBAISIEN,Soutien au développement de la pratique sportive,,3000
Sports,2013,69,CONVENTION GYMNIQUE DE LYON,Journée découverte activités gymniques,soutien au développement pratique sportive féminine,3000
Sports,2013,75,ASSOCIATION SPORT LIFE DEVELOPPEMENT,Projet She got game,soutien au développement pratique sportive féminine,3000
Sports,2015,75,ASSOCIATION  EMILIE GOMIS,1ère édition du EmilIie Gomis basketball camp,soutien au développement de la pratique sportive,3000
Sports,2013,77,ASSOCIATION FEMIX SPORTS,animation du réseau des femmes au sein DTN,soutien au développement pratique sportive féminine,3000
Sports,2013,92,CSG COLOMBE,Participation à la coupe du monde de patinage à Logrono,soutien au développement de la pratique sportive,3000
Sports,2016,93,TOP RANK,Pratique féminine,Ateliers de boxe,3000
Sports,2013,15,FOOT SAPEUR POMPIERS,,,3000
Sports,2016,75,Stade Français Triathlon,,,3000
Sports,2016,71,VILLE D'IGORNAY,soutien à la rénovation du court de tennis,soutien au développement de la pratique sportive,2500
Sports,2016,93,ASS SPORTIVE CULTURELLE FRANCOPHONE,marche internationale 450 km,soutien au développement de la pratique sportive,2500
Sports,2013,21,CERCLE SPORTIF LAIQUE DIJONNAIS,,soutien au développement de la pratique sportive,2000
