code_circo,nom,genre
988_1,Bernard Deladrière,H
59_9,Bernard Gérard,H
69_9,Bernard Perrut,H
13_15,Bernard Reynès,H
63_4,Bertrand Barraud,H
61_1,Bertrand Deniaud,H
35_2,Bertrand Plouvier,H
31_4,Bertrand Serp,H
38_9,Bruno Gattaz,H
27_1,Bruno Le Maire,H
17_1,Bruno Leal,H
14_5,Cédric Nouvelot,H
76_10,Charles d’Anjou,H
01_2,Charles de la Verpillière,H
06_2,Charles-Ange Ginesy,H
45_1,Charles-Eric Lemaignen,H
93_3,Christian Demuynck,H
77_4,Christian Jacob,H
13_11,Christian Kert,H
02_1,Christophe Coulon,H
69_10,Christophe Guilloteau,H
95_4,Claude Bodin,H
45_3,Claude de Ganay,H
75_14,Claude Goasguen,H
67_9,Claude Sturni,H
65_2,Clément Menet,H
974_2,Cyril Melchior,H
39_1,Cyrille Brero,H
01_5,Damien Abad,H
31_6,Damien Laborde,H
03_2,Daniel Duglery,H
62_4,Daniel Fasquelle,H
977_1,Daniel Gibbs,H
974_5,Daniel Gonthier,H
66_1,Daniel Mach,H
16_2,Daniel Sauvaitre,H
78_12,David Douillet,H
57_2,Denis Jacquat,H
22_2,Didier Deru,H
94_3,Didier Gonzales,H
29_7,Didier Guillon,H
17_5,Didier Quentin,H
42_4,Dino Cinieri,H
73_1,Dominique Dord,H
13_2,Dominique Tian,H
60_7,Édouard Courtial,H
976_1,Elad Chakrina,H
34_6,Elie Aboud,H
47_2,Émilien Roso,H
72_4,Emmanuel Franco,H
80_3,Emmanuel Maquet,H
26_4,Emmanuelle Anthoine,H
69_6,Emmanuelle Haziza,H
86_3,Enguerrand Delannoy,H
92_7,Eric Berdoati,H
06_1,Éric Ciotti,H
60_6,Éric de Valroger,H
13_12,Eric Diard,H
64_2,Eric Saubatte,H
68_1,Éric Straumann,H
60_4,Eric Woerth,H
999_9,Erwan Davoux,H
49_7,Étienne Glémot,H
07_3,Fabrice Brun,H
66_2,Fernand Siré,H
44_7,Franck Louvrier,H
91_2,Franck Marlin,H
77_5,Franck Riester,H
31_1,Francois Chollet,H
52_2,François Cornut-Gentille,H
56_1,François Goulard,H
78_1,François-Xavier Bellamy,H
02_3,Frédéric Meura,H
17_3,Frédéric Neveu,H
59_17,Frederic Nihous,H
67_8,Frédéric Reiss,H
03_3,Gabriel Maquin,H
69_11,Georges Fenech,H
67_3,Georges Schuler,H
92_13,Georges Siffredi,H
88_2,Gérard Cherpion,H
10_3,Gérard Menuel,H
94_5,Gilles Carrez,H
34_7,Gilles d'Ettore,H
35_7,Gilles Lurton,H
71_5,Gilles Platret,H
95_5,Gilles Savry,H
50_2,Guénhaël Huet,H
53_2,Guillaume Chevrollier,H
83_5,Guillaume Decard,H
87_3,Guillaume Guerin,H
89_1,Guillaume Larrivé,H
41_2,Guillaume Peltier,H
77_9,Guy Geoffroy,H
13_6,Guy Teissier,H
73_2,Hervé Gaymard,H
26_3,Hervé Mariton,H
37_4,Hervé Novelli,H
90_1,Ian Boucard,H
92_3,Jacques Kossowski,H
54_4,Jacques Lamblin,H
78_5,Jacques Myard,H
76_5,Jean Delalandre,H
06_7,Jean Leonetti,H
72_5,Jean-Carles Grelier,H
49_3,Jean-Charles Taugourdeau,H
84_2,Jean-Claude Bouchet,H
10_2,Jean-Claude Mathis,H
77_1,Jean-Claude Mignon,H
76_1,Jean-François Bures,H
77_6,Jean-François Copé,H
75_13,Jean-François Lamour,H
60_2,Jean-François Mancel,H
84_4,Jean-François Perilhou,H
78_10,Jean-Frédéric Poisson,H
2A_1,Jean-Jacques Ferrara,H
92_8,Jean-Jacques Guillet,H
974_1,Jean-Jacques Morel,H
