code_insee,Population municipale,Nom de la commune,nom,groupe,2018,2016,variation
78640,22036,Vélizy-Villacoublay,Pascal Thévenot,Les républicains,199524.02,199887.58,-0.18188223600485717
78646,85862,Versailles,François de Mazières,Les républicains,444177.04,414499.3,7.1599011144289
80422,580,Hautvillers-Ouville,Jean-Claude Buisine,"Socialiste, écologiste et républicain",25897.96,25251.81,2.558826476201103
83069,55588,Hyères,Jean-Pierre Giran,Les républicains,455459.76,402174.56,13.249271659550024
83129,32829,Six-Fours-les-Plages,Jean-Sébastien Vialatte,Les républicains,303770.14,262219.35,15.845813819613252
84087,28919,Orange,Jacques Bompard,Députés non inscrits,234413.96,234629,-0.09165107467534199
86194,88291,Poitiers,Alain Claeys,"Socialiste, écologiste et républicain",589239.12,543942.39,8.327486666372883
87187,6766,Saint-Yrieix-la-Perche,Daniel Boisserie,"Socialiste, écologiste et républicain",101774.88,100245.24,1.5258978880194205
88079,1549,Bulgnéville,Christian Franqueville,"Socialiste, écologiste et républicain",51196.97,50539.82,1.3002618529310184
88160,31740,Épinal,Michel Heinrich,Les républicains,305980.52,273428.9,11.904966885358496
89025,6572,Avallon,Jean-Yves Caullet,"Socialiste, écologiste et républicain",114037.08,106319.98,7.258372320988027
89387,25935,Sens,Marie-Louise Fort,Les républicains,205954.73,177673.12,15.91777641997845
91097,7552,Boussy-Saint-Antoine,Romain Colas,"Socialiste, écologiste et républicain",107288.44,104894.58,2.282157953251732
92022,20520,Chaville,Jean-Jacques Guillet,Les républicains,144997.22,117071.19,23.853887536293087
92026,81719,Courbevoie,Jacques Kossowski,Les républicains,497232.14,428928.32,15.924297094675403
92040,68451,Issy-les-Moulineaux,André Santini,Union des démocrates et indépendants,419973.14,475909.12,-11.753500332164254
92044,64379,Levallois-Perret,Patrick Balkany,Les républicains,478508.18,474436.2,0.8582776777994556
92051,60361,Neuilly-sur-Seine,Jean-Christophe Fromantin,Députés non inscrits,385437.95,346323.2,11.294290997542179
92063,78152,Rueil-Malmaison,Patrick Ollier,Les républicains,463564.84,430271.89,7.737653975024957
93073,36180,Tremblay-en-France,François Asensi,Gauche démocrate et républicaine,353041.7,272721.91,29.451168774815358
94016,31069,Cachan,Jean-Yves Le Bouillonnec,"Socialiste, écologiste et républicain",253377.97,277433.15,-8.670622094007157
94028,90605,Créteil,Laurent Cathala,"Socialiste, écologiste et républicain",1046504.04,960849.29,8.914483352534921
94068,74859,Saint-Maur-des-Fossés,Sylvain Berrios,Les républicains,395830.46,331767.83,19.309476147823013
94079,28456,Villiers-sur-Marne,Jacques Alain Bénisti,Les républicains,226191.14,178650.67,26.61085458005839
95277,25999,Gonesse,Jean-Pierre Blazy,"Socialiste, écologiste et républicain",279909.46,254903.4,9.810014303457713
95424,21601,Montigny-lès-Cormeilles,Jean-Noël Carpentier,"Radical, républicain, démocrate et progressiste",180694.61,178325.53,1.328514206574901
95500,30767,Pontoise,Philippe Houillon,Les républicains,256486.67,236830.55,8.299655597641447
18279,25903,Vierzon,Nicolas Sansu,Gauche démocrate et républicaine,NA,220097.52,NA
28085,38578,Chartres,Jean-Pierre Gorges,Les républicains,NA,295227.13,NA
90010,47656,Belfort,Damien Meslot,Les républicains,NA,428583.6,NA
